comment,likes,rating,useful
"Took MORE THAN 2 WEEKS to deliver, Seller keep reject to ship out the parcel even I request since 1st week, they just IGNORE me until end of 2nd week, said will ship out on Thurs or Friday but no ship out till Monday of 3RD WEEK till i request again, no Aeon voucher given, get 2 bag instead.",2,1,1
Very poor product qualityMemory card jadi pns bila guna dlm fon.,4,1,1
Barang diterima dengan selamat.Penghantaran terlalu pantas.Produk ok. Saiz jadi 59g.Terima kasih seller.Update 1 Jul 2021 -Xiaomi Redmi 9t cannot support this SD card Corrupt internal storage.Reset back my phone ,,2,1
Original legit card with better read and write speed for phone.,,2,1
"Beli 16 gb, dapat 14gb.......",,2,1
Barang padu. Tp bab delivery tu sloww gila. Seminggu order bru nk shipment barang.,,2,0
slow delivery but product is ok,,2,0
"Product arrived fast however, supposedly it should be 64gb,but when inserted into the phone, only became 59.4gb. So did not get what i expected to get.",1,2,1
Where the free shipping?,,2,0
"Buy 3 card got 1 card cannot read, waste my money got no refund",,2,1
"Gave 2 stars due to delivery only. I was home, no WhatsApp or call by delivery person. They left it out on the gate. Then it rained heavily, thats when I noticed on Shopee saying it has been delivered. Found parcel behind a pot plant, soaked wet in the rain.DisappointedProduct worked very well.",,2,0
"It took 3 days for them to pack the item n ship it to the courier.n additional 2 days for jnt.suprisingly, i received the item on the same day with my other item bought from china.so please,to those who need it urgently like me,please do buy from other seller.",1,2,0
-Received in 1 day after shipping out +3-The packaging comes with a box +2-Order cancelled once due to seller do not ship out the parcel on time. - 1-Second order was made possible when I extended the shipping day -1-The speed of the product is NOT as advertised -1,4,2,0
"writing speed and reading speed not even half of the 98mbs...only get 20mbs...memory is enough, not sure is real or fake card.",5,2,1
Delivery time is below the expectations. DHL is kinda slow with dealing the parcels. Even the seller took 3 days to ship out. 2 star is fair for seller and courier.,1,2,0
"Ordered on 4.1.19, ship out on 8.1.19, received on 9.1.19. Why take 5days to pack and ship out after receive order? Will give 5 stars if receive within 48 hours after ordered!",2,2,0
Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.Produk okay. Delivery lambat.,0,2,0
"Preparation utk delivery lambat, seller amik masa lebih seminggu hanya utk pos brg, setelah seminggu seller ckp nak pos isnin tp khamis baru pos, setelah delivery, tak sampai 2 hari dah sampai, good product quality, bukan condem tp hanya pendapat utk tingkatkan produktiviti seller",,2,0
Ambil masa 15 hari utk smpai... Berjanggut menunggu time pkp ni...huhuAmbil masa 15 hari utk smpai... Berjanggut menunggu time pkp ni...huhuAmbil masa 15 hari utk smpai... Berjanggut menunggu time pkp ni...huhu,1,2,0
Lambat untuk keluar ship out. Sampai hujung waktu diberikan shopee baru nk ship,2,2,0
Very bad delivery service. Item shipped out late and delivery late too. Other purchases from China arrived much earlier than this seller.,2,2,0
"Generally, the microSD card is working well and good. Product is packing states that it's Made in Taiwan but the content such as the adapter is printed Made In China. And by the way,  SDCard adapter for the microSD is not working as it should when used together with the microSD plugged in.",1,2,1
item arrived safely..im not satisfied with the product..where is the remaining 4.55 GB..?? i need explaination on that..i bought for 64 GB and only get 59.45 GB absolutely ridiculous,,3,1
Good packing and cheaper than others ship! Worthy! Goodluck ,,3,0
"Product oke, got time 4.4.21 price quite cheap. But seller send to courier take around60hours. Normal other mall arour 24hours. Then bad service from courier service. Need 6days to deliver(shopee express)",,3,0
"sd card memory tak sampai 128gb pun, hanya 119gb. Cuma harap thn lama jelah.",,3,1
"Late shipping, but arrived with no damage, thats acceptable.............",,3,0
"128gb but only 119gb free spacedelivery is really, really latetook nearly a month of waiting",,3,1
Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good Good,,3,0
"Delivered the items slow which not fulfill shopper 2 days shipping policy. Order 9.9, post 14.9, reach 17.9.In addition, the seller respond is not professional.",,3,0
Beli 16GB dapat 15.9GBMana pergi lagi yg balance tuh?Jadi seller tolong jujur laa,,3,1
"Product goodPacking goodDelivery time very slow, about 10days to received.Need to improve, mco is not reason because other seller can delivery within 3 days.",,3,0
Fast delivery.Beli 2 cuma 1 je berfungsi.Bukan sandisk original.,,3,1
Beli 128gb tapi bila tgk ada 119gb but its okey yg penting barang i sampaib,,3,1
good quality.delivery mcm siput,,3,0
Good item but slow delivery I won't use shopee express after this. The courier before seem Irresponsible. They didn't deliver my item but claim buyer not in location,,3,0
Late,,3,0
Okay laa..got the card..ordered on saturday..received on wed..haha..shop in selangor..no other gift..just card..hopefully working one.,,3,0
"Barang sampai dengan selamat,bungkusan terbaik",,3,0
Im doubting this sandisk official store.. I couldnt find any info of sandisk product in their original website. I used H2testw to test whether the SD card is genuine or not. Guess what? The reading writing sped only 58.5 Mb/s and reading speed only 61.0Mb/s. When will the speed up to 100Mb/s?,8,3,1
"Good product but seller not helpful. Page said free shipping order above rm40, my order above rm60 but still no free shipping at all. Pm seller he jz ask em to refer shopee. I reinstall shopee app still same. Only happen to this seller. Weird",,3,1
Previously asked Sandisk can this use for my Nintendo Switch they said no & proceed me to use SD card with Nintendo logo. Well they lied and they are wrong they have no inching idea what they are talking about.   Im using 200gb sd card perfectly for my nintendo switch  and yes it can be used,6,3,1
Just nak tahu..adakah normal beli sd card 64gb..bila dh install jd 59.4gb..pernah beli sd card..tp..xde lar sampai kurang byk mcm tu..Pape pun..ok lar..harga ok..penghantaran ok..tq..,,4,1
"Product: Overall ok, but its quite slow on the data transfer rate as compare to what was being advised and also my other Sandisk Memory Card (Kindly refer photo)Delivery; Seller already posted on time, but the courier service was really2 bad. Item was posted on 8 June, but I only receive today",,4,1
"Parcel delivered on next day of order placed, thumbs up, thanks.",,4,0
Bought in sandisk official store and reliable productSatisfied,,4,0
Barang sampai Elok dah try test semua masuk dekat hanset dah dpt detect mmg 64gb.bagi 4 star sebab seller lambat pos out sila perbaiki service anda,,4,1
Barang dah lama sampai..baru nk rate..so far okay je barang elok..,,4,0
Delivery is slow but product is good if delivery can more efficient is better,,4,0
Great authentic product. Product as advertise. I have try it. 1 star deduct for seller late ship my product. 3 days later only start to prepare to ship.If i were to receive 2 weeks late i would have give it 3 star.,,4,0
"Safely arrive, abit slow to be expected mco 3.",,4,0
"Downloaded songs and input into the microsd. It works on my divoom speaker. However ninjavan delivers at such a weird timing, 8pm+",,4,1
It works perfectly hopefully can save more photos and videos without moving it to computer due to full storage anymore. I just show the packaging photo because I forgot to take a pic of the card . But delivery service is quite slow .,,4,1
"Fast shipping, really surprised cos some of the reviews mentioned slow shipping and poor service from couriers. I like the packaging too heheOnly real complaint is it shows I have 59GB instead of 64, but besides that everything was good",,4,1
"Hi seller, order received and thx. Yet open the package.. Hope it can last long.",,4,0
Seller send out product very fast. Product also send to the delivery address as per schedule.,,4,0
Good. Penghantaran cepat dan balutan kemas dan selamat.,,4,0
Original. Has 31.9GB. Transfer 4.04GB of music from the phone to SD card used 6minutes.,,4,1
RM0 Majlis Rasmi/Tidak Rasmi & Majlis Sosial dibenarkan mulai 5 Mac. Had kehadiran kawasan PKPB 50% keluasan premis & kawasan PKPP mengikut keluasan premis.,,4,0
"Thx Seller, this is my repeated order but this round a bit late delivery. Hope this card can last longer..",,4,0
"Delivery agak lambat, tp at this time u couldnt expect more. Its consider ok la. Real/ori sandisk micro sd. Works well. Checked in the fon with actual storage size. Good product after all!",0,4,0
Barang smpai dlm keadaan baik..cuma aku tak test lagi okay ke tak.. sebab tak sempat nk balik kg..,,4,0
Memory kad boleh guna. Setakat tiga hari guna masih okey bosskueee.. Nanti akan repeat oderr lagi pada masa yang akan datang boskuee..  Pounsikou @ telima kasih tokeyyyy.. Torbaikkk,,5,0
"Micro SDXC card x2 received, but sale neet 2-3 days for shipment, I'm OK, is original, goods have bubble envelope, 2 card format and try for tranfer video file from macbook and play back on tab and phone, is working well. Very satisfied",,5,1
terbaikkkkkkkkterbaikkkkkterbaikkkkkterbaikkkkkterbaikkkkkterbaikkkkkterbaikkkkk,,5,0
Item posted in bubled parcel. Item received in good condition.,,5,0
Tq seller terbaik servis dari sller shri je terus smpai terkejut jgk servis dari ninja ni tba2 laju biasanya slow sgt,,5,0
"Received in 4 days in great condition, fully protected with bubble wrap. In my realme phone it shows 128gb, but in my samsung tablet it shows 119gb. It is an authentic item, my 2nd time purchasing from this seller. Will buy again soon. Highly recommended. Thanks seller!!",,5,1
"5 For the Product, Quality & Sellers  This Emoji For the (Currier Services),They didn't make a call, and just throw the items on the floor of my house entrance...See at the Video, how did i receive my order item's.",1,5,0
Superd good packing.    item from scandisk official store.  more reliable .,,5,0
angbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikbarangbaikang,,5,0
Item as described. Fast shipping. Good value. Recommended seller.,,5,0
Barang smpai dgn selamat wlpn dlm MCO..harap berfungsi dgn baik..x tidak berfungsi blh return ke seller..tq jnt,,5,0
"This is my second time buying sd card at this shop,highly recommended...the delivery is also very fast and the package is nicely wrap",,5,0
"Memory card OK,,, function.. Tapi syg beli 128gb tapi di dlm cuma 119gb shje huuum.. Appn tq..",,5,1
"Card ok, wlupun sangkut kt j & t yg bt lmnt sgt....thx seller....wlupun gmbr xde kna mengena pn",,5,0
"Put this memory card into my phone and copy my pictures, just in case my 3 years old phone give me surprise shut down. Everything works well.",,5,1
Tak sangka...hari ini order..esok sampai...terkejut hamba...Hope...berbaloi dan tahan lama...tp utk pdpr ni..mmg sesuai lahkan...,,5,0
Very fast delivery. Item received in good condition. Thanks seller.,,5,0
"Fast delivery, good price, haven't try to use yet.",,5,0
Ok good  Puas hati.. Beli untok fon bru anak2... Barang sampai ikut jadual penghantaran..,,5,0
Thankyou seller barang ori yaa  get this with 29 with voucher and its worth it for 64gb !! Thankyouuu ,,5,0
"Barang lambat smpi, pos x update barang sampai.",1,1,0
Barang OK bila buka packaging..tetapi dapat packaging da koyak dan kotak rosak..kena ambil sendiri di J&T..,,2,0
"Received with thanks. Delivery took 8 days. Bought it for the second time, Dont know why but this time the outer part of the bottle was oily, seems like stock for some time. But luckily there was plastic on the outer part.",2,3,0
Bottle leaked from the cap. Hopefully you guys can improve the packaging next time. Thanks,,3,0
Need to improve on packaging.,,3,0
"Thanks for the free giftPackaging ok, no leakingBut slow delivery",,3,0
Dissapointed when received the item. Luckilly not a lot was wasted,0,3,0
"Products well with bubble wrapped, excellent packaging, thank you seller and good value for money fast delivery 2day shipped",1,3,0
"Everything ok.. Except delivery service.. Saya self collect dekat dia punya warehause.. Order 11/05, 20/05 pun xreceive lg.. Last saya pick up sendiri.. Thanks seller.. Good services.. Maybe problem sebab MCO ni.. Dan nk dekat raya.. So parcel terlampau overload. Next time will order again.. ",,3,0
Sorry yer... Tak dpt nak give 5star... Sbb kotak kat luar tuu.. Mcm kotak sampah.. But anyway thx for the wrapping and protection for the bottle of Tomyum...,,3,0
Barang agak lewat smpi..respon seller jgk lmbt utk penghantaran,,3,0
bekas cam tumpah  dan berminyak,,3,1
"Barang lambat smpi, pos x update barang sampai.",1,1,0
Barang OK bila buka packaging..tetapi dapat packaging da koyak dan kotak rosak..kena ambil sendiri di J&T..,,2,0
"Received with thanks. Delivery took 8 days. Bought it for the second time, Dont know why but this time the outer part of the bottle was oily, seems like stock for some time. But luckily there was plastic on the outer part.",2,3,0
Bottle leaked from the cap. Hopefully you guys can improve the packaging next time. Thanks,,3,0
Need to improve on packaging.,,3,0
"Thanks for the free giftPackaging ok, no leakingBut slow delivery",,3,0
Dissapointed when received the item. Luckilly not a lot was wasted,0,3,0
"Products well with bubble wrapped, excellent packaging, thank you seller and good value for money fast delivery 2day shipped",1,3,0
"Everything ok.. Except delivery service.. Saya self collect dekat dia punya warehause.. Order 11/05, 20/05 pun xreceive lg.. Last saya pick up sendiri.. Thanks seller.. Good services.. Maybe problem sebab MCO ni.. Dan nk dekat raya.. So parcel terlampau overload. Next time will order again.. ",,3,0
Sorry yer... Tak dpt nak give 5star... Sbb kotak kat luar tuu.. Mcm kotak sampah.. But anyway thx for the wrapping and protection for the bottle of Tomyum...,,3,0
Barang agak lewat smpi..respon seller jgk lmbt utk penghantaran,,3,0
bekas cam tumpah  dan berminyak,,3,1
Package well received. With bubble wrapped. Anyway plastic container no issue. Have not try the taste yet.,,4,0
Pes tomyam ni mmg sedap... rasa mmg mcm tomyam siam pure... mmg terbaik... seller pos dengan well pack... saya beli ye. Tq Sedap sedap sedap sedap sedap sedap,,4,0
Pes Tom yam dh sampai order 7/7 smpi 11/7Pack dgn esk dlm kotak n bubble ok...,,4,0
"Barang telah slmat diterima wpun ambil masa 5 hr br sampai. Maybe sbb mco, is okayyyy. Pes tomyum kegemaran keluarga n akan repet bli lagi. Shooooo sedappppp !!! Tq runner & seller ",,4,0
"Item received even though a bit late due to EMCO probably. There is a spill from the goods, possibly not tightly closed from original manufacturer. The packaging quality is good but seller need to improve method of packaging to prevent of item spillage in the future.",,4,0
Just received havent tried yet! Happy with the fast delivery!,,4,0
penghantaran slow...,,4,0
Parcel dibungkus dgn baik... Tp ada bekas minyak sedikit... Harap2 brg tidak rosak... Tq,,4,0
"Wrapping tebal, produk semua okey..tq",,4,0
Good product. Tq,,4,0
"fast delivery, and the paste is very nice",,4,0
"Penghantaran yang cepat, harga berpatutan, pbungkusan yang elok, barang  sampai dengan  selamat",,4,0
"Not yet try, thanks for the small gift.",,4,0
Items well received and in good condition .Delivery also ok . Thank you very much,,4,0
terbaik,,4,0
Packaging terbaik. Harga yg berbaloi. Akan repeat lagi,,4,0
"Finally received from ninja van. Received the paste in good condition, expiry date 19/3/2022. Good service by seller. Thanks ninja van delivery man ",,4,0
"Barang sampai already, will repeat again later, thank youu",,4,0
"Alhamdulillah barang sudah sampai ambik masa dalam dua hari je untuk sampai, penghantaran lajuuu, order pagi lepas tu dalam tengahari tu jugak seller pos, bagus betul sellee macam ni. Barang sampai pon ok, siap bagi free gift tissue lagi. Thank you. Nanti saya repeat lagi inshaAllah dehh hehehheheh",,5,0
2nd time beli. Harga berpatutan. Dpt free gift gula2 batu lagi Tq seller. Maaf gmbr tiada kaitan. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller. Tq seller.Tq,,5,0
Alhamdulilah barang sampai elok..packge elok..murah dari beli kat luar..walaupun lewat sedikit sampai..seller siap bg free gift..lepas ni boleh beli lagi..#kitajagakita #stayathome #kalauperlukeluarrumahjgnlupapakaimask #sanitizer#jgnlupajagasop #staysafe #gedenggedeng,,5,1
Thank you for the fast and secure packing delivery was real zippy too  .. Ive used this brand before But never in this big plastic bottle..,,5,0
Alhamdulillah.. Barang sampai dlam keadaan baik.. Lmbat smpai mngkin sbb pkp 3.0..biasa klau oder hari ni.. Esok dah smpai..Tq saler bagi gift..,,5,0
"Alhamdulillah,  cepat sampai  dan Hargayg berpatutan  sama macam beli kat pasar paying KT. Dapat free gift.  Tq seller.  Pembungkusan  yg baik",,5,0
"Fast Delivery with surprise gift. Fast response from seller. Good and trusted seller. A bit disappointed with the J&T courier girl refuse to drop the parcel on the contactless area was ready at my home, she feel lazy to come down from her car ( i think ) insist me to collect it.. .Overall ok.",,5,0
"Barang diterima dlm keadaan baik.. tomyam paste ni mmg awesome.. sedap.. x perlu nk tambah paste lain dah.. letak paste ni dan brg2, dah jd tomyam..",,5,1
Alhamdulillah syukur barang sampai dgn elok dan selamat mendarat .. berpuas hati dengan produk dn seller pun baik dan peramah.. kualiti produk baik dan sempurna .harga berpatutan dan penghantaran yang cepat dan pantas..saya beli ya. nanti saya akan perkenalkan produk ni ke saudara mara,,5,1
Penghantaran Yang sangat cepat... Barang dibungkus dengan baik...  Dapat hadiah lagi... Terima.kasih... terbaik...,,5,0
Barang diterima dalam keadaan baikDibungkus dengan baik sekaliTerima kasih sellerDapat Hadiah juga ,,5,0
Senang bli on9..kt kedai kna beratur..scan my sjhtera dlu..sedap pes tom yam ni...kami selalu masak...kdng smnggu 2x wt tom yam..mkn dgn nasi@bihun@ mee...terima kaseh..Good seller..bungkusan kemas..thanks freegift coklat batu..,,5,1
Tq atas free gift....berbaloi baloi...,,5,0
Smpai dlm keadaan baik...elok bungkus kotak ngan bubble..sgt2 safety...tq seller... Tomyam ni mmg sedap...xyah letak ape dh...nk buat pun senng...,1,5,1
Tq for free gift.. Belum ghaseeee lagi.. aku beli sebab aku baca review org dok kate sedap.. so beli je laaaa.. RM0 Jangan sebar berita palsu mengenai vaksin. Bersama kita jayakan  Program Imunisasi COVID-19 Kebangsaan.,,5,0
"Penghantaran yang cepat oleh seller, dibungkus dengan bubble wrap menjamin botol selamat tidak pecah, terbaik seller, boleh order lagi lain kali",,5,0
tq seller...,,5,0
"barang diterima dalam keadaan baik. my mom yang suka guna pes ni. tadi try masak dengan mee goreng. sedapresepi mee goreng tomyam :bwg putih, merah, halia sikit. blend. msuk mnyak msuk bwg blend. tumis. msuk telur 1biji. kcw.+ air. agak2 la. kcwmsuk pes.+ kicap+ perasa+gula. msuk mee",,5,1
Tomyam dah sampai kotak kemek tapi nasib baik barang helok sebab ade seal,,5,0
Fast delivery. eventhought the box damaged but product intact due to good bubble wrapping. Thank you for the free gift. Cheaper price compared to other sellers. Definately will buy again from seller.,,5,0
